"Item Name","Level","Description","Gil","Stock","Rate"
"nomad's gloves","15","[Hands] All Races

LV 15 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","7000","0","0.0231783"
"nomad's hose","15","[Legs] All Races

LV 15 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","15000","0","0.139792"
"nomad's mantle","24","[Back] All Races

LV 24 WAR MNK RDM THF PLD DRK BST BRD RNG SAM NIN DRG BLU COR DNC RUN","30000","0","1.56179"
"nomad's mantle +1","24","[Back] All Races

LV 24 WAR MNK RDM THF PLD DRK BST BRD RNG SAM NIN DRG BLU COR DNC RUN","100000","0","0.318066"
"nomad's tunica","15","[Body] All Races

LV 15 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","20000","0","0.128937"
"nopales salad","0","","5000","0","0.0430008"
"nopales salad +1","0","","1000","2","0"
"Norg shell","0","","60000","4","3.86911"
"noritsune kote","74","[Hands] All Races

LV 74 MNK SAM NIN","20000","2","0.186784"
"northern fur","0","","500","8","0.727562"
"northern jerkin","67","[Body] All Races

LV 67 WAR RDM THF PLD DRK BST BRD RNG SAM NIN DRG BLU COR DNC RUN","10000","0","0.0372069"
"Nosteau herring","0","","1000","1","0.0123454"
"Nosteau herring x12","0","","10000","1","0.176249"
"nous arbalest","31","[Ranged] All Races
DPS: 417 
LV 31 WAR THF DRK RNG","20000","1","0.0362317"
"nukemaru","73","[Main] All Races
DPS: 1027 
LV 73 SAM","50000","1","0.0170834"
"numen staff","79","[Main] All Races
DPS: 836 
LV 79 WAR MNK WHM BLM RDM BST BRD SMN SCH GEO","20000","0","0.154908"
"numinous shield","69","[Sub] All Races

LV 69 WAR WHM RDM THF PLD BST SAM","40000","0","0.192543"
"numinous shield +1","69","[Sub] All Races

LV 69 WAR WHM RDM THF PLD BST SAM","100000","0","0.0837723"
"nursemaid's harp","60","[Ranged] All Races

LV 60 BRD","80000","2","0.162497"
"nymph shield","39","[Sub] All Races

LV 39 WHM BLM RDM PLD DRK SMN BLU SCH GEO RUN","30000","2","0.0585652"
"nymph shield +1","39","[Sub] All Races

LV 39 WHM BLM RDM PLD DRK SMN BLU SCH GEO RUN","95000","0","0"
"oak bed","0","","20000","5","0.0204904"
"oak cudgel","36","[Main] All Races
DPS: 341 
LV 36 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","7000","1","0.348225"
"oak cudgel +1","36","[Main] All Races
DPS: 374 
LV 36 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","5000","0","0.0757071"
"oak log","0","","1000","0","5.57481"
"oak log x12","0","","8000","0",""
"oak pole","40","[Main] All Races
DPS: 552 
LV 40 MNK WHM BLM SMN SCH GEO","5000","1","0.467982"
"oak pole +1","40","[Main] All Races
DPS: 585 
LV 40 MNK WHM BLM SMN SCH GEO","10000","0","0.087648"
"oak shield","36","[Sub] All Races

LV 36 WAR WHM RDM THF PLD BST SAM","5000","0","0.0605728"
"oak shield +1","36","[Sub] All Races

LV 36 WAR WHM RDM THF PLD BST SAM","20000","0","0.0161315"
"oak staff","39","[Main] All Races
DPS: 344 
LV 39 WAR MNK WHM BLM RDM BST BRD SMN SCH GEO","5000","0","0.304778"
"oak staff +1","39","[Main] All Races
DPS: 371 
LV 39 WAR MNK WHM BLM RDM BST BRD SMN SCH GEO","10000","0","0.0925983"
"oak table","0","","10000","2","0.0868586"
"obelisk","4","[Main] All Races
DPS: 197 
LV 4 WAR PLD SAM DRG","10000","1","0.788378"
"obelisk lance","38","[Main] All Races
DPS: 695 
LV 38 PLD DRG","30000","1","0.134825"
"obelisk lance +1","38","[Main] All Races
DPS: 728 
LV 38 PLD DRG","99000","0","0.0195194"
"Oberon bullet pouch","0","","5000","1","2.41616"
"Oberon bullet pouch x12","0","","400000","0","0"
"Oberon's bullet","80","[Ammo] All Races
DPS: 1925 
LV 80 RNG COR","5000","0","0.0843946"
"Oberon's bullet x99","80","[Ammo] All Races
DPS: 1925 
LV 80 RNG COR","10000","0","0.493051"
"Oberon's knuckles","75","[Main] All Races
DPS: 375 
LV 75 MNK","5000","0","0.221719"
"Oberon's rapier","75","[Main] All Races
DPS: 804 
LV 75 RDM","20000","0","0.0538284"
"Oberon's sainti","75","[Main] All Races
DPS: 371 
LV 75 PUP","90000","1","0.0267886"
"oblivispore mushroom","0","","5000","2","0.103141"
"obsidian arrow","55","[Ammo] All Races
DPS: 2000 
LV 55 WAR RDM THF PLD DRK BST RNG SAM NIN","1000","0","0"
"obsidian arrow x99","55","[Ammo] All Races
DPS: 2000 
LV 55 WAR RDM THF PLD DRK BST RNG SAM NIN","10000","0","0"
"ocean belt","50","[Waist] Hume

LV 50 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","30000","0","0.129601"
"ocean rope","70","[Waist] Hume

LV 70 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","50000","0","0.250513"
"ocean sash","70","[Waist] Hume

LV 70 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","50000","0","0.146237"
"ocean stone","50","[Waist] Hume

LV 50 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","30000","0","0.120034"
"ocelomeh harness","95","[Body] All Races

LV 95 MNK THF BST RNG NIN BLU COR PUP DNC RUN","30000","0","2.25707"
"ocelomeh harness +1","95","[Body] All Races

LV 95 MNK THF BST RNG NIN BLU COR PUP DNC RUN","700000","0","0.366106"
"ocelomeh headpiece","95","[Head] All Races

LV 95 MNK THF BST RNG NIN BLU COR PUP DNC RUN","20000","1","4.2247"
"ocelomeh headpiece +1","95","[Head] All Races

LV 95 MNK THF BST RNG NIN BLU COR PUP DNC RUN","100000","0","1.58695"
"ochiudo's kote","34","[Hands] All Races

LV 34 MNK SAM NIN","100000","3","0.818969"
"Odenta","48","[Main] All Races
DPS: 840 
LV 48 SAM","40000","2","0.0177427"
"odium ring","76","[Finger] All Races

LV 76 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","10000","1","0.233965"
"ogre eel","0","","1000","0","0.0156884"
"ogre eel x12","0","","10000","0","0.9893"
"ogre gloves","70","[Hands] All Races

LV 70 RDM BST","40000","4","2.50634"
"ogre gloves +1","70","[Hands] All Races

LV 70 RDM BST","230000","0","0.114142"
"ogre jambiya","75","[Main] All Races
DPS: 657 
LV 75 DNC","30000","1","0.030829"
"ogre jerkin","70","[Body] All Races

LV 70 RDM BST","40000","0","0.0747879"
"Ogre jerkin +1","70","[Body] All Races

LV 70 RDM BST","30000","0","0.0176251"
"ogre ledelsens","70","[Feet] All Races

LV 70 RDM BST","8000","0","0.464764"
"ogre ledelsens +1","70","[Feet] All Races

LV 70 RDM BST","130000","0","0.0456773"
"ogre mask","70","[Head] All Races

LV 70 RDM BST","5000","1","0.247253"
"ogre mask +1","70","[Head] All Races

LV 70 RDM BST","35000","0","0.0222014"
"ogre pumpkin","0","","2000","0","0"
"ogre pumpkin x12","0","","3000","0","0.106187"
"ogre sickle","75","[Main] All Races
DPS: 958 
LV 75 BLM","10000","0","0.0780741"
"ogre trousers","70","[Legs] All Races

LV 70 RDM BST","10000","0","0.343502"
"ogre trousers +1","70","[Legs] All Races

LV 70 RDM BST","50000","0","0.0093328"
"Ogygos's bracelets","40","[Hands] All Races

LV 40 WAR MNK RDM THF PLD DRK BST BRD SAM NIN DRG BLU COR DNC RUN","20000","1","0.134194"
"ohaguro","39","[Main] All Races
DPS: 615 
LV 39 NIN","10000","1","0.510483"
"oily trousers","74","[Legs] All Races

LV 74 WAR RDM THF PLD DRK BST BRD RNG SAM NIN DRG BLU COR DNC RUN","30000","0","0.123082"
"Okanehira","23","[Main] All Races
DPS: 507 
LV 23 SAM","12500","1","0.926178"
"old arrow","1","[Ammo] All Races
DPS: 190 
LV 1 RNG","1","0","0"
"old arrow x99","1","[Ammo] All Races
DPS: 190 
LV 1 RNG","1000","0","0"
"oliphant","40","[Ranged] All Races

LV 40 BRD","10000","2","0.0666599"
"olive flower","0","","500","0","0"
"olive flower x12","0","","0","0","0"
"olympus sash","93","[Waist] All Races

LV 93 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","400000","0","1.36371"
"ombre tathlum","93","[Ammo] All Races

LV 93 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","50000","0","0.242625"
"omniscient earring","67","[Ear] All Races

LV 67 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","65000","0","0"
"omniscient earring +1","67","[Ear] All Races

LV 67 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","1000000","0","0"
"omniscient ring","72","[Finger] All Races

LV 72 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","60000","0","0.0976811"
"omniscient ring +1","72","[Finger] All Races

LV 72 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","700000","0","0"
"omokage","60","[Main] All Races
DPS: 943 
LV 60 SAM","70000","1","0.0241174"
"oneiros belt","88","[Waist] All Races

LV 88 WAR MNK RDM THF PLD DRK BST BRD SAM NIN DRG BLU COR DNC RUN","50000","1","0.0873368"
"oneiros cape","88","[Back] All Races

LV 88 WHM BLM RDM BRD SMN BLU PUP SCH GEO","100000","2","0.0796512"
"oneiros cappa","88","[Back] All Races

LV 88 WAR MNK RDM THF PLD DRK BST BRD RNG SAM NIN DRG BLU COR DNC RUN","10000","1","0.285488"
"oneiros earring","88","[Ear] All Races

LV 88 WAR THF PLD DRK BRD RNG SAM NIN DRG COR PUP","20000","5","0.187196"
"oneiros harp","88","[Ranged] All Races

LV 88 BRD","10000","2","0.0837651"
"oneiros pearl","88","[Ear] All Races

LV 88 RNG","23000","5","0.164928"
"oneiros pebble","88","[Ammo] All Races

LV 88 WAR RDM PLD BST SAM","20000","1","0.194053"
"oneiros ring","88","[Finger] All Races

LV 88 WAR MNK THF BST BRD RNG SAM NIN DRG COR PUP DNC","10000","1","0.342673"
"oneiros rope","88","[Waist] All Races

LV 88 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","20000","2","0.159248"
"oneiros sash","88","[Waist] All Races

LV 88 WHM BLM RDM SMN SCH GEO","20000","1","0.647496"
"oneiros tathlum","88","[Ammo] All Races

LV 88 WAR DRK BST RNG RUN","30000","0","0.114382"
"oneiros torque","88","[Neck] All Races

LV 88 WAR MNK RDM THF PLD DRK BST BRD SAM NIN DRG BLU COR DNC RUN","15000","1","0.134494"
"Onikiri","65","[Main] All Races
DPS: 987 
LV 65 SAM","20000","1","0.148852"
"onimaru","73","[Main] All Races
DPS: 1027 
LV 73 SAM","10000","1","0.105705"
"onion dagger","1","[Main] All Races
DPS: 93 
LV 1 WAR BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN SCH GEO","2000","1","0.587496"
"onion knife","1","[Main] All Races
DPS: 117 
LV 1 WAR THF PLD DRK BRD RNG SAM NIN DRG COR PUP DNC","1000","3","0.607153"
"onion rod","1","[Main] All Races
DPS: 62 
LV 1 WHM BLM SMN SCH GEO","1000","1","0.631546"
"onion staff","1","[Main] All Races
DPS: 66 
LV 1 WAR MNK WHM BLM RDM BST BRD SMN SCH GEO","1000","0","0.290434"
"onion sword","1","[Main] All Races
DPS: 132 
LV 1 WAR RDM THF PLD DRK BST BRD RNG NIN DRG BLU COR RUN","170000000","0","1.35086"
"onyx","0","","1000","3","0.372018"
"onyx cuisses","71","[Legs] All Races

LV 71 DRK","100000","0","0"
"onyx earring","10","[Ear] All Races

LV 10 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","3000","0","0.915168"
"onyx gadlings","71","[Hands] All Races

LV 71 DRK","100000","0","0"
"onyx ring","14","[Finger] All Races

LV 14 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","2000","0","0.392851"
"onyx sallet","71","[Head] All Races

LV 71 DRK","0","0","0"
"onyx sollerets","71","[Feet] All Races

LV 71 DRK","200000","0","0"
"onyx x12","0","","10000","0","0.138245"
"onz of coriander","0","","1","0","0"
"onz of coriander x12","0","","20000","0","0"
"onz of curry powder","0","","1000","0","0.0878477"
"onz of curry powder x12","0","","0","0",""
"onz of desalinator","0","","5000","2","0"
"onz of desalinator x12","0","","1","0",""
"onz of salinator","0","","3000","1","0.0128495"
"onz of salinator x12","0","","1","0",""
"onz of turmeric","0","","1","0","0.301715"
"onz of turmeric x12","0","","5000","0","0"
"opal earring","10","[Ear] All Races

LV 10 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","3000","0","0.455211"
"opal ring","14","[Finger] All Races

LV 14 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","2000","0","0.4108"
"opaline boots","40","[Feet] Females

LV 40 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","150000","1","0.157308"
"opaline dress","40","[Body] Females

LV 40 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","90000","0","0.242041"
"opaline hose","40","[Legs] Females

LV 40 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","100000","0","0.0739994"
"opaque wing","0","","5000","1","4.8654"
"Opo-opo necklace","61","[Neck] All Races

LV 61 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","30000","1","1.42876"
"Opo-opo tart","0","","8000","0","0.279345"
"Opo-opo tart x12","0","","20000","0","0"
"optic fiber","0","","165000","2","0.234807"
"optic fiber x12","0","","0","","0"
"optical needle","50","[Ammo] All Races

LV 50 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","20000","1","0.0572694"
"oracle's belt","39","[Waist] All Races

LV 39 MNK WHM BLM RDM PLD BRD RNG SMN BLU PUP SCH GEO RUN","4000","0","0.0768806"
"orange au lait tank","1","[Back] All Races

LV 1 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","0","0","0"
"orange cake","0","","438","0","0"
"orange kuchen","0","","1000","0","0.134592"
"orange kuchen +1","0","","10000","2","0.0100674"
"orb of dark fewell","0","","1000","1","0.809326"
"orb of dark fewell x99","0","","30000","0","2.95346"
"orb of earth fewell","0","","1000","1","1.00976"
"orb of earth fewell x99","0","","50000","0","3.68199"
"orb of fire fewell","0","","1000","0","1.03966"
"orb of fire fewell x99","0","","30000","0","1.68592"
"orb of ice fewell","0","","1000","0","0.678333"
"orb of ice fewell x99","0","","20000","0","0.86517"
"orb of light fewell","0","","1000","3","1.00989"
"orb of light fewell x99","0","","30000","0","3.54953"
"orb of lightning fewell","0","","1000","0","0.845021"
"orb of lightning fewell x99","0","","30000","0","1.16153"
"orb of water fewell","0","","1000","2","1.29278"
"orb of water fewell x99","0","","30000","0","3.49667"
"orb of wind fewell","0","","1000","1","0.546602"
"orb of wind fewell x99","0","","30000","0","1.3608"
"Orc helmet","0","","1000","23","1.48518"
"Orc helmet x12","0","","12000","1",""
"Orc pauldron","0","","1000","1","0.227622"
"Orc pauldron x12","0","","0","",""
"Orc Piercer","41","[Main] All Races
DPS: 727 
LV 41 WAR PLD SAM DRG","2000","1","0.509109"
"Orcish gauntlets","71","[Hands] All Races

LV 71 WAR MNK RDM THF PLD DRK BST BRD SAM NIN DRG BLU COR DNC RUN","10000","0","0.187316"
"Oretania's cape","93","[Back] All Races

LV 93 WHM BLM RDM BRD SMN BLU PUP SCH GEO","20000","2","1.6508"
"orichalcum bullet","97","[Ammo] All Races
DPS: 2225 
LV 97 RNG COR","7000","0","0"
"orichalcum bullet pouch","0","","50000","5","3.56518"
"orichalcum bullet pouch x12","0","","1200000","1","0.301257"
"orichalcum bullet x99","97","[Ammo] All Races
DPS: 2225 
LV 97 RNG COR","70000","0","2.02593"
"orichalcum chain","0","","20000","0","0.455504"
"orichalcum chain x12","0","","300000","0","0"
"orichalcum dagger","70","[Main] All Races
DPS: 656 
LV 70 BLM SMN SCH GEO","40000","0","0"
"orichalcum earring","75","[Ear] All Races

LV 75 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","19000","1","0.508532"
"orichalcum ingot","0","","20000","16","6.57813"
"orichalcum ingot x12","0","","170000","25","2.22955"
"orichalcum lance","75","[Main] All Races
DPS: 1122 
LV 75 DRG","80000","2","0.0315203"
"orichalcum ring","65","[Finger] All Races

LV 65 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","50000","2","0.253528"
"orichalcum scythe","73","[Main] All Races
DPS: 1102 
LV 73 DRK","150000","2","0.140631"
"orichalcum sheet","0","","11000","21","1.76542"
"orichalcum sheet x12","0","","150000","0","0"
"ornament case","0","","30000","3","0.355415"
"orobon lure","0","","1000","1","0.0868527"
"orobon lure x12","0","","50000","2","0"
"orochi nodowa","75","[Neck] All Races

LV 75 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","10000","1","1.37888"
"orochi nodowa +1","75","[Neck] All Races

LV 75 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","110000","0","0"
"Oscar scarf","71","[Neck] All Races

LV 71 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","2000","0","0.0375969"
"Ose whisker","0","","1000","5","0.297935"
"Ose whisker x12","0","","0","",""
"osoraku","69","[Main] All Races
DPS: 978 
LV 69 NIN","10000","1","0.0795441"
"osseus plate","0","","50000","6","4.46029"
"osseus plate x12","0","","0","",""
"ostreger mitts","74","[Hands] All Races

LV 74 WAR BST RNG SAM DRG","20000","1","0.0651603"
"otori","74","[Main] All Races
DPS: 967 
LV 74 NIN","20000","1","0"
"ouka ranman","0","","1000","0","0.0197973"
"ouka ranman x99","0","","1000","0","0.0864307"
"oversized fang","0","","4500","3","0.101985"
"oversized fang x12","0","","100000","0",""
"oversized sock","0","","10000","0","6.17076"
"ovinnik hide","0","","2000","0","0.626849"
"ovinnik hide x12","0","","20000","0",""
"ox tongue","71","[Main] All Races
DPS: 1061 
LV 71 WAR PLD SAM DRG","30000","1","0.0212399"
"oxblood orb","0","","41000","23","3.40109"
"oxblood orb x12","0","","20000","0","0"
"oynos knife","93","[Main] All Races
DPS: 1290 
LV 93 WAR THF PLD DRK BRD RNG SAM NIN DRG COR PUP DNC","20000","1","3.85894"
"Pachamac's collar","54","[Neck] All Races

LV 54 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","5000","0","0.011085"
"pacifying chain","87","[Neck] All Races

LV 87 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","100000","1","0"
"pacifying chain +1","87","[Neck] All Races

LV 87 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","281477","0","0"
"padded armor","35","[Body] All Races

LV 35 WAR MNK RDM THF PLD DRK BST BRD SAM NIN DRG BLU COR DNC RUN","10000","0","0.178552"
"padded box","0","","10000","4","0.476579"
"padded cap","35","[Head] All Races

LV 35 WAR MNK RDM THF PLD DRK BST BRD SAM NIN DRG BLU COR DNC RUN","5000","0","0.306933"
"paguroidea ring","92","[Finger] All Races

LV 92 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","100000","3","1.91427"
"painite","0","","7000","8","4.46997"
"painite ring","54","[Finger] All Races

LV 54 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","10000","2","0"
"painite x12","0","","30000","5","0.392513"
"pair of nopales","0","","2000","1","0.626611"
"pair of nopales x12","0","","20000","0","0.503415"
"paisley scarf","30","[Neck] All Races

LV 30 MNK WHM BLM RDM THF DRK BRD RNG SMN BLU COR PUP DNC SCH GEO RUN","9000","1","0"
"paktong bullet","35","[Ammo] All Races
DPS: 1250 
LV 35 THF RNG NIN COR","10000","0","0"
"paktong bullet x99","35","[Ammo] All Races
DPS: 1250 
LV 35 THF RNG NIN COR","10000","0","0.0276479"
"paktong ingot","0","","20000","6","3.42703"
"paktong ingot x12","0","","35000","0","0"
"paladin die","0","","50000","2","0"
"Pallas's bracelets","60","[Hands] All Races

LV 60 WAR MNK RDM THF PLD DRK BST BRD SAM NIN DRG BLU COR DNC RUN","20000","0","1.21849"
"Pallas's shield","72","[Sub] All Races

LV 72 BST","50000","1","0.525356"
"Palmerin's shield","72","[Sub] All Races

LV 72 PLD","20000","1","0.372436"
"palmer's bangles","41","[Hands] All Races

LV 41 MNK WHM BLM RDM THF DRK BRD RNG SMN BLU COR PUP DNC SCH GEO RUN","20000","0","0"
"pamama au lait tank","1","[Back] All Races

LV 1 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","20000","1","0.0159652"
"pamama tart","0","","10000","1","0.313346"
"pamama tart x12","0","","50000","0","0.0235383"
"pandinus beret","92","[Head] All Races

LV 92 THF RNG COR","20000","2","0.726251"
"panetiere","0","","330000","6","5.80856"
"panther mask","72","[Head] All Races

LV 72 WAR MNK THF BST NIN DNC RUN","30000","1","0.527637"
"panther mask +1","72","[Head] All Races

LV 72 WAR MNK THF BST NIN DNC RUN","50000","0","0.196643"
"papillion","0","","3000","0","0.0113362"
"papillion x99","0","","7000","0","0.0420309"
"paralysis arrow","70","[Ammo] All Races
DPS: 67 
LV 70 WAR RDM THF PLD DRK BST RNG SAM NIN","10","0","0"
"paralysis arrow x99","70","[Ammo] All Races
DPS: 67 
LV 70 WAR RDM THF PLD DRK BST RNG SAM NIN","5000","0","0.393779"
"parasite worm","0","","1000","2","0.185501"
"parasite worm x12","0","","4000","0","0"
"parclose","0","","10000","3","0.0543367"
"parrying earring","35","[Ear] All Races

LV 35 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","20000","1","0.054332"
"parrying knife","25","[Main] All Races
DPS: 338 
LV 25 WAR THF PLD DRK BRD RNG SAM NIN DRG COR PUP DNC","5000","1","0.655653"
"parrying torque","65","[Neck] All Races

LV 65 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","17500","0","0.0531434"
"partisan","57","[Main] All Races
DPS: 923 
LV 57 WAR PLD SAM DRG","10000","1","0.1102"
"partisan +1","57","[Main] All Races
DPS: 968 
LV 57 WAR PLD SAM DRG","50000","0","0.0265683"
"partition","0","","10000","3","0.253407"
"party egg","0","","2250","2","0"
"party egg x12","0","","6061","0","0"
"passaddhi staff","39","[Main] All Races
DPS: 246 
LV 39 WAR MNK WHM BLM RDM BST BRD SMN SCH GEO","10000","1","0.0690804"
"passaddhi staff +1","39","[Main] All Races
DPS: 270 
LV 39 WAR MNK WHM BLM RDM BST BRD SMN SCH GEO","30000","0","0.0400016"
"pastoral staff","45","[Main] All Races
DPS: 597 
LV 45 MNK WHM PLD DRG","20000","0","0"
"patas","48","[Main] All Races
DPS: 304 
LV 48 WAR MNK BST NIN PUP","30000","1","0.0899845"
"patas +1","48","[Main] All Races
DPS: 331 
LV 48 WAR MNK BST NIN PUP","30000","0","0.204537"
"patientia lance","99","[Main] All Races
DPS: 1573 
LV 99 DRG","5000","0","1.34949"
"Patriarch Protector's shield","60","[Sub] All Races

LV 60 WHM BLM SMN PUP SCH GEO","10000","0","0.0107983"
"patrician's cuffs","70","[Hands] All Races

LV 70 MNK WHM BLM RDM THF DRK BRD RNG SMN BLU COR PUP DNC SCH GEO RUN","100000","2","0.0554359"
"patriot's ring","69","[Finger] All Races

LV 69 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","4000","0","0.0273181"
"pattern reader","0","","19000","1","0.482279"
"pattern reader x12","0","","10000","0","0"
"pavor gauntlets","93","[Hands] All Races

LV 93 DRK","30000","1","0.281297"
"peace cape","66","[Back] All Races

LV 66 WHM BLM RDM BRD SMN BLU PUP SCH GEO","10000","2","0"
"peace cape +1","66","[Back] All Races

LV 66 WHM BLM RDM BRD SMN BLU PUP SCH GEO","100000","0","0"
"peace ring","59","[Finger] All Races

LV 59 WHM BLM RDM BRD RNG NIN SMN BLU PUP SCH GEO","5000","1","0.0711109"
"peacemaker","72","[Ranged] All Races
DPS: 289 
LV 72 COR","100000","1","0.173587"
"peacock charm","33","[Neck] All Races

LV 33 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","400000","2","1.51894"
"pealing anelace","72","[Main] All Races
DPS: 1004 
LV 72 WAR RDM PLD DRK BLU COR RUN","40000","2","0.031246"
"pealing buzdygan","71","[Main] All Races
DPS: 680 
LV 71 WAR WHM PLD GEO","10000","0","0"
"pealing nagan","71","[Main] All Races
DPS: 1050 
LV 71 PLD DRK RUN","50000","0","0.0173823"
"peapuk wing","0","","1000","1","2.79644"
"peapuk wing x12","0","","10000","2","1.24351"
"pear au lait tank","1","[Back] All Races

LV 1 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","20000","0","0"
"pear crepe","0","","5000","1","0"
"pear crepe x12","0","","20000","4","0.0415058"
"pearl","0","","1000","1","1.72982"
"pearl earring","31","[Ear] All Races

LV 31 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","3000","0","0.0237149"
"pearl ring","36","[Finger] All Races

LV 36 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","5000","1","0.268154"
"pearl x12","0","","10000","0","0.822528"
"pearlscale","0","","10000","0","0.0657547"
